Situation,Location,Date Reported,Incident/Case#,Date Occured,Time Occured,Summary,Disposition
"Minor Injury Collision
","South Parking Structure
","2/15/2024
","2024‐0344
","2/15/2024
","6:04 PM ‐ 6:08 PM
",,"Report Taken
"
"Petty Theft ‐ Micro Mobility Device
","Geisel Library
","2/15/2024
","2024‐0351
","2/15/2024
","6:30 PM
","Secured electric scooter stolen, loss $600.00
","Online Report
"
"Security Alarm
","Women's Center
","2/15/2024
","2402150063
","2/15/2024
","6:58 PM
",,"False Alarm
"
"Unknown Injury Collision
","Campus Point Drive/ Genesee Avenue
","2/15/2024
","2402150064
","2/15/2024
","7:20 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Disturbance, Vehicle
","Foodworx
","2/15/2024
","2402150065
","2/15/2024
","8:38 PM
","Female motorist was yelling and honking at reporting party
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","Price Center Plaza
","2/15/2024
","2402150067
","2/15/2024
","8:38 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Solis Hall
","2/15/2024
","2024‐0352
","2/15/2024
","7:55 PM ‐ 8:34 PM
","Secured electric scooter stolen, loss $289.00
","Online Report
"
"Missing Vehicle
","Gilman Drive
","2/15/2024
","2402150075
","2/15/2024
","10:48 PM
","Reporting party having trouble locating vehicle
","Service Provided
"
"Suspicious Person
","Seventh College West #1
","2/15/2024
","2402150076
","2/15/2024
","11:11 PM
","Unknown male was taking pictures of reporting party and friends, inside laundry room
","Service Provided
"
"Petty Theft ‐ Micro Mobility Device
","Gilman Drive
","2/15/2024
","2024‐0354
","2/15/2024
","7:30 PM ‐ 7:40 PM
","Secured electric scooter stolen, loss $300.00
","Online Report
"
"Suspicious Person
","Ola Parking
","3/30/2024
","2403300004
","3/30/2024
","1:02 AM
","Non-Affiliate on top floor of parking structure
","Checks Ok
"
"Tresspass
","Parking Lot P386
","3/30/2024
","2024-0643
","3/30/2024
","3:00 AM - 3:30 AM
","Non-affiliate contacted for camping in vehicle on campus after curfew hours
","Closed By Citation, Adult
"
"Burglary/ Fraud
","Price Center West - Target
","3/30/2024
","2024-0644
","3/29/2024
","11:00 AM
","Unknown suspect(s) entered store to return a fraudulent Apple watch and obtained $463.31
","Report Taken
"
"Burglary/ Fraud
","Price Center West - Target
","3/30/2024
","2024-0645
","3/29/2024
","8:54 PM
","Suspect entered store to return a fraudulent Apple watch and obtained $463.31
","Report Taken
"
"Incomplete/Accidental Landline 911 Call
","Brisa
","3/30/2024
","2403300023
","3/30/2024
","1:32 PM
",,"Logged Event
"
"Attempt to Contact
","Rita Atkinson Residences
","3/30/2024
","2403300027
","3/30/2024
","2:43 PM
","Parent unable to get ahold of student, states out of ordinary
","Checks Ok
"
"Medical Aid
","Trolley - La Jolla Health Station
","3/30/2024
","2403300028
","3/30/2024
","2:48 PM
","Adult female experiencing pain in hands and spine from pre-existing injury
","Gone on Arrival
"
"Incomplete/Accidental Wireless 911 Call
","Parking Lot P385
","3/30/2024
","2403300029
","3/30/2024
","3:55 PM
",,"Logged Event
"
"Security Alarm
","Preuss School
","3/30/2024
","2403300033
","3/30/2024
","6:12 PM
",,"False Alarm
"
"Disturbance
","Tuolumne Apartments
","3/30/2024
","2403300034
","3/30/2024
","6:18 PM
","Non-Affiliate seen digging thru dumpster next to tennis courts
","Unable to Locate
"
"Injury
","Trolley - La Jolla Health Station
","3/30/2024
","2403300043
","3/30/2024
","7:38 PM
","Adult male fell and states he is unable to move
","Referred to Other Agency - San Diego Fire Department
"
"Welfare Check
","Galbraith Hall
","3/30/2024
","2403300044
","3/30/2024
","19:41
","Report of student with schizophrenia who stopped taking medication and stopped talking to
","Checks Ok
"
"Incomplete/Accidental Landline 911 Call
","Scholars Parking
","3/30/2024
","2403300049
","3/30/2024
","8:19 PM
",,"Logged Event
"
"Trespass
","Catalyst
","3/30/2024
","2403300055
","3/30/2024
","10:10 PM
","Known trespasser in bathroom on 8th floor
","Unable to Locate
"
"Gas/Water/Sewer Leak
","Catalyst
","3/30/2024
","2403300057
","3/30/2024
","10:30 PM
","Water coming from wall unknown origin
","Referred to Other Department - UCSD
"
"Unknown Injury Collision
","Interstate 5/ Genesee Avenue
","2/8/2024
","2402080001
","2/8/2024
","12:01 AM
",,"Referred to Other Agency ‐ California Highway Patrol
"
"Fire Alarm
","Scholars Lane ‐ North
","2/8/2024
","2402080005
","2/8/2024
","3:54 AM
","No signs of smoke or fire
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Outside Agency Arrest Warrant
","Warren Lecture Hall
","2/8/2024
","2024‐0290
","2/8/2024
","4:52 AM
","Non‐Affiliate contacted for illegally camping on campus
","Report Taken
"
"Fire Alarm
","La Jolla Del Sol Apartment
","2/8/2024
","2402080007
","2/8/2024
","5:10 AM
",,"Checks OK
"
"Citizen Contact
","UCSD Police Department
","2/8/2024
","2402080019
","2/8/2024
","10:00 AM
","Property pick‐up
","Service Provided
"
"Medical Aid
","Shiley Eye Institute
","2/8/2024
","2402080027
","2/8/2024
","1:42 PM
","Patient Transport
","Referred to Other Agency ‐ San Diego Fire Department
"
"Incomplete/Accidental Wireless 911 Call
","Regents Road
","2/8/2024
","2402080028
","2/8/2024
","2:14 PM
",,"Logged Event
"
"Suspicious Person
","Voigt Drive
","2/8/2024
","2402080029
","2/8/2024
","2:29 PM
","Unknown adult male walked in looking for ""someone"" that can read his idea & proposal for
","Field Interview
"
"Information
","Genesee Ave/Interstate 5
","2/8/2024
","2402080034
","2/8/2024
","3:11 PM
","Reporting party's car broke down and needs assistance
","Information Only
"
"Grand Theft ‐ Micro Mobility Device
","Applied Physics & Mathematics
","2/8/2024
","2402080035
","2/8/2024
","3:50 PM
","Secured electric scooter stolen, loss $1,050.00
","Report Taken
"
"Hit and Run Collision ‐ No Injuries
","Gillman Parking
","2/8/2024
","2402080043
","2/8/2024
","9:30 AM ‐ 5:00 PM
",,"Service Provided
"
"Incident/Accidental Landline 911 Call
","Scholars Drive ‐North
","2/8/2024
","2402080045
","2/8/2024
","5:50 PM
",,"Logged Event
"
"Gas/Water/Sewer Leak
","York Hall
","2/8/2024
","2402080046
","2/8/2024
","5:59 PM
","Water leak from 1st floor custodial closet
","Referred to Other UCSD Department ‐ Central Plant
"
"Gas/Water/Sewer Leak
","Kaleidoscope
","2/8/2024
","2402080050
","2/8/2024
","6:44 PM
","Odor of natural gas coming from second floor
","Referred to Other UCSD Department ‐ Environmental Health & Safety
"
"Reckless Driving
","La Jolla Village Drive/ Arriba
","2/8/2024
","2402080052
","2/8/2024
","7:04 PM
",,"Referred to Other Agency ‐ San Diego Police Department
"
"Petty Theft
","Regents Road
","2/8/2024
","2024‐0293
","2/8/2024
","6:45pm‐9:30pm
","Unknown suspect(s) took victim's clothing items from a communal washing machine, loss
","Report Taken
"
"Security Alarm
","Leichtag Family Foundation
","2/8/2024
","2402080055
","2/8/2024
","7:52 PM
",,"False Alarm
"
"Petty Theft
","Structural & Material Engineering Building
","2/8/2024
","2024‐0292
","2/8/2024
","9:00 AM ‐ 7:30 PM
","Secured bicycle stolen, loss $600.00
","Report Taken
"
"Security Alarm
","Women's Center
","2/8/2024
","2402080058
","2/8/2024
","7:55 PM
",,"False Alarm
"
"Suspicious Person
","Price Center East ‐ Ballroom
","2/8/2024
","2402080060
","2/8/2024
","8:19 PM
","Female with child, possibly intoxicated, slurring words and laying down in middle of room
","Checks Ok
"
"Incomplete/Accidental Landline 911 Call
","Tapestry
","2/8/2024
","2402080064
","2/8/2024
","9:36 PM
",,"Logged Event
"
"Petty Theft ‐ Micro Mobility Device
","Center Hall
","2/8/2024
","2024‐0303
","2/8/2024
","7:00 PM‐8:30 PM
","Secured electric scooter stolen, loss $700.00
","Online Report
"
"Security Alarm
","Otterson Hall
","2/8/2024
","2402080066
","2/8/2024
","10:09 PM
",,"False Alarm
"
"Information
","Blake Hall
","2/8/2024
","2402080067
","2/8/2024
","10:35 PM
","Control panel inside Res Life Supply Room, making clicking noise since yesterday
","Referred to Other UCSD Department ‐ Housing Maintenance
"
"Fire Alarm
","Rita Atkinson Residences
","2/8/2024
","2402080071
","2/8/2024
","11:21 PM
",,"False Alarm
"
"Disturbance
","UCSD Medical Center ‐ Hillcrest
","2/8/2024
","HC24‐02‐07‐0114
","2/7/2024
","10:20 AM
","Patient refusing to leave
","Referred to Other Agency ‐ San Diego Police Department
"
"Suspicious Person
","Warren Shuttle Stop
","3/22/2024
","2403220006
","3/22/2024
","12:58 AM
","Non-affiliate male on campus after curfew hours
","Verbal Warning Issued
"
"Suspicious Person
","Capa on Miramar Street
","3/22/2024
","2024-0609
","3/22/2024
","1:02 AM
","Non-affiliate male on campus after curfew hours and observed inside of donation bin
","Closed By Citation, Adult
"
"Noise Disturbance
","Kathmandu House
","3/22/2024
","2403220008
","3/22/2024
","1:21 AM
","Loud group outside building
","Referred to Student Conduct
"
"Welfare Check
","Seventh College West #1
","3/22/2024
","2403220015
","3/22/2024
","5:43 AM
","Parent unable to get ahold of student
","Unable to Locate
"
"Incomplete/Accidental Wireless 911 Call
","North Torrey Pines
","3/22/2024
","2403220022
","3/22/2024
","9:06 AM
",,"Logged Event
"
"Vehicle Vandalism
","South Parking Structure
","3/22/2024
","2403220023
","3/22/2024
","9:19 AM
","Unknown suspect shattered window of victim's vehicle, cost of damage $750.00
","Report Taken
"
"Vin Verification
","UCSD Police Department
","3/22/2024
","2403220024
","3/22/2024
","10:10 AM
",,"Service Provided
"
"Disturbance
","Price Center West
","3/22/2024
","2024-0610
","3/21/2024-3/22/2024
","11:18 AM
","Subject screaming profanities at passerby's, say away order issued
","Report Taken
"
"Medical Aid
","Moores Cancer Center
","3/22/2024
","2403220027
","3/22/2024
","11:30 AM
","Medical transport
","Referred to Other Agency - San Diego Fire Department
"
"Welfare Check
","Unknown Location
","3/22/2024
","2403220028
","3/22/2024
","11:46 AM
","Reporting party received concerning messages from student who suffers from mental illness
","Unable to Locate
"
"Medical Aid
","Student Health and Wellness Center
","3/22/2024
","2403220036
","3/22/2024
","2:11 PM
","Young adult female feeling dizzy and faint
","Referred to Other Agency - San Diego Fire Department
"
"Petty Theft - Micro Mobility Device
","Geisel Library
","3/22/2024
","2024-0612
","3/21/2024-3/22/2024
","7:00PM-7:00AM
","Secured electric bicycle stolen, loss $500.00
","Report Taken
"
"Found Property
","La Jolla Shores Drive
","3/22/2024
","2403220041
","3/22/2024
","3:35 PM
","Reporting party found electric scooter
","Service Provided
"
"Petty Theft - Micro Mobility Device
","Solis Hall
","3/22/2024
","2024-0617
","3/22/2024
","8:00 AM-10:00 AM
","Secured electric scooter stolen, loss $400.00
","Online Report
"
"Vandalism
","Torrey Pines Gliderport
","3/22/2024
","2024-0613
","3/22/2024
","4:11 PM
","Graffiti on fence, clean-up cost $50.00
","Report Taken
"
"Petty Theft
","Unknown
","3/22/2024
","2403220045
","3/22/2024
","4:47 PM
","Via 911; caller advised stolen purse on Offer-Up
","Referred to Other Agency - San Diego Police Department
"
"Incomplete/Accidental Wireless 911 Call
","Gilman Parking
","3/22/2024
","2403220046
","3/22/2024
","5:14 PM
",,"Logged Event
"
"Injury
","Moores Cancer Center
","3/22/2024
","2024-0616
","3/22/2024
","5:26 PM
","Adult female fell, medical aid refused
","Report Taken
"
"Unknown Injury Collision
","La Jolla Village Drive/Genesee Avenue
","3/22/2024
","2403220048
","3/22/2024
","5:32 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Unknown Injury Collision
","Regents Road/ La Jolla Village Drive
","3/22/2024
","2403220049
","3/22/2024
","5:32 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Security Alarm
","Student Business Services
","3/22/2024
","2403220050
","3/22/2024
","6:02 PM
",,"False Alarm
"
"Petty Theft - Micro Mobility Device
","Ledden Auditorium
","3/22/2024
","2024-0621
","3/22/2024
","3:00 PM-6:01 PM
","Secured electric scooter stolen, loss $450.00
","Online Report
"
"Disturbance/Non-Student Refuse to leave University
","Thornton Pavilion
","3/22/2024
","2403220051
","3/22/2024
","6:49 PM
","Original call for a non-affiliate male outside emergency room swinging a cane and blocking
","Closed By Citation, Adult
"
"Incomplete/Accidental Landline 911 Call
","Design and Innovation Building
","3/22/2024
","2403220055
","3/22/2024
","7:41 PM
",,"Logged Event
"
"Weapons Law Violation Arrest/ Drug Law Violation
","Main Gymnasium
","3/22/2024
","2024-0619
","3/22/2024
","8:04 PM
","Suspect contacted for acting suspicious and was found in possession of a fixed blade longer than
","Closed By Adult Arrest
"
"Unknown Injury Collision
","Genesee Avenue/ La Jolla Village Drive
","3/22/2024
","2403220058
","3/22/2024
","8:16 PM
",,"Referred to Other Agency - San Diego Police Department
"
"Incomplete/Accidental Landline 911 Call
","Regents Road/ Regents Park Row
","3/22/2024
","2403220061
","3/22/2024
","9:32 PM
",,"Logged Event
"
"Suspicious Person
","Catalyst
","3/22/2024
","2403220064
","3/22/2024
","10:23 PM
","Non-affiliate seeing inside building, has been accessing building multiple times over the last few
","Unable to Locate
"
"Attempted Simple Assault
","UCSD Medical Center - East Campus
","3/22/2024
","EC24-03-21-0055
","3/21/2024
","6:56 PM
","Psych patient attempted to strike staff member
","Information Only
"
"UC Policy Violation
","Cala
","2/13/2024
","2402130001
","2/13/2024
","12:11 AM
","Smoking contact
","Referred to Student Conduct
"
"Suspicious Vehicle
","One Miramar Street ‐ Parking Garage
","2/13/2024
","2402130005
","2/13/2024
","1:23 AM
","Vehicle with lights on
","Checks OK
"
"Marijuana Contact
","Marea
","2/13/2024
","2402130007
","2/13/2024
","1:34 AM
","Odor of marijuana
","Referred to Student Conduct
"
"Noise Disturbance
","Mesa Verde Hall
","2/13/2024
","2402130010
","2/13/2024
","1:54 AM
","Loud yelling and playing
","Quiet on Arrival
"
"Incomplete/ Accidental Wireless 911 Call
","Genesee Avenue
","2/13/2024
","2402130014
","2/13/2024
","2:48 AM
",,"Logged Event
"
"Drug Law Violation Arrest/ Outside Agency Warrant Arrest
","Trolley ‐ Central Campus Station
","2/13/2024
","2402130015
","2/13/2024
","2:49 AM
","Arrested subject contacted when officer observed him and another male acting suspicious upon
","Closed By Adult Arrest
"
"Incomplete/ Accidental Wireless 911 Call
","UC San Diego
","2/13/2024
","2402130016
","2/13/2024
","3:42 AM
",,"Logged Event
"
"Hazard Situation
","Israni Biomedical Research Facility
","2/13/2024
","2402130022
","2/13/2024
","7:17 AM
","Transporter possibly leaking gas or steam coming from valve area
","Checks OK
"
"Disturbance
","Price Center West ‐ Starbucks
","2/13/2024
","2402130024
","2/13/2024
","7:42 AM
","Unknown adult female bothering students, left area, reporting party concerned the female may
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","UC San Diego
","2/13/2024
","2402130029
","2/13/2024
","8:47 AM
",,"Logged Event
"
"Welfare Check
","Thornton Pavilion
","2/13/2024
","2402130030
","2/13/2024
","7:50 AM ‐ 8:50 AM
","Patient eloped in last hour with IV still in arm
","Information Only
"
"Security Alarm
","Cognitive Sciences Building
","2/13/2024
","2402130034
","2/13/2024
","9:40 AM
",,"False Alarm
"
"Incomplete/ Accidental Landline 911 Call
","Gilman Drive
","2/13/2024
","2402130035
","2/13/2024
","9:45 AM
",,"Logged Event
"
"Incomplete/ Accidental Landline 911 Call
","Brisa
","2/13/2024
","2402130042
","2/13/2024
","10:48 AM
",,"Logged Event
"
"Property Damage
","Mesa Apartments Central
","2/13/2024
","2024‐0326
","2/7/2024
","2:15 PM
","Glass door of UC Vehicle shattered when caught on a mound of dirt
","Report Taken
"
"Welfare Check
","Price Center East
","2/13/2024
","2402130050
","2/13/2024
","1:48 PM
","Older adult male, rambling and asking for help to the Chancellors house
","Checks OK
"
"Welfare Check
","UCSD Residential Area
","2/13/2024
","2402130053
","2/13/2024
","2:40 PM
","Student previously on mental health detention, has not shown up for class
","Service Provided
"
"Grand Theft
","Urey Hall
","2/13/2024
","2024‐0329
","2/13/2024
","12:45 PM ‐ 1:45 PM
","Unknown suspect stole victim's unattended backpack that contained multiple electronic items,
","Report Taken
"
"Suspicious Person
","Library Walk/ Lyman Walk
","2/13/2024
","2402130056
","2/13/2024
","3:48 PM
","Subject sitting on grass, smoking and yelling at people
","Information Only
"
"Incomplete/ Accidental Wireless 911 Call
","Geisel Library
","2/13/2024
","2402130059
","2/13/2024
","5:01 PM
",,"Logged Event
"
"Security Alarm
","Campus Curbside Pickup
","2/13/2024
","2402130060
","2/13/2024
","5:05 PM
",,"False Alarm
"
"Petty Theft ‐ Micro Mobility Device
","Humanities & Social Sciences
","2/13/2024
","2024‐0330
","2/13/2024
","12:30 PM ‐ 1:50 PM
","Secured electric scooter stolen, loss $500.00
","Report Taken
"
